m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
CYNS,CYNS,CYGNUS OIL&GAS,CYGNUS OIL&GAS,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
CYOU,CYOU,CHANGYOU.COM,Changyou.com Limited,NSDQ,USD,S,Y,http://www.changyou.com,7372,Prepackaged software,212,INTERNET CONTENT,10,Computer and Technology,32,COMPUTER SOFT/SERV,12,,,0001458696,CN,CHINA,1,Y,N,ADR
IMRE,CYPB,CYPRESS BIOSCI,CYPRESS BIOSCI,,,,N,,,,,,,,,,12,,,,,,,,,
CYPE,CYPE,CENTURY PETROLM,Century Petroleum Corp.,OTC,USD,S,Y,http://www.centurypetrol.com,1311,Crude petroleum & natural gas,136,OIL-US EXP&PROD,12,Oils/Energy,42,OIL-EXP&PROD,4,,,,US,UNITED STATES,1,N,N,COM
CYPJ,CYPJ,CYBER OPERATION,CYBER OPERATION,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
CYPS,CYPS,CYPRESS SVG  A,CYPRESS SVG  A,,,,N,,,,,,,,,,12,,,,,,,,,
CRAY,CYR.,CRAY RESEARCH,CRAY RESEARCH,,,,N,,,,,,,,,,12,,,,,,,,,
CYRB,CYRBY,CYRELA BRAZIL,Cyrela Brazil Realty SA,OTC,USD,S,Y,,6798,Real estate investment trusts,152,REAL ESTATE DEV,13,Finance,52,REAL ESTATE,12,2011-04-20,20.0,0001026025,,,3,N,N,ADR
CTCH,CYRN,CYREN LTD,CYREN Ltd.,NSDQ,USD,S,Y,http://www.cyren.com,7372,Prepackaged software,214,INTERNET SOFTWARE,10,Computer and Technology,32,COMPUTER SOFT/SERV,12,2008-01-02,0.33,0001084577,IL,ISRAEL,1,N,N,COM
CYRP,CYRP,CYBRA CORP,CYBRA CORP,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
CRZ2,CYRV,CRYSTAL RIVER,CRYSTAL RIVER,,,,N,,,,,,,,,,12,,,,,,,,,
CYR2,CYRX,CRYOPORT INC,"CryoPort, Inc.",NSDQ,USD,S,Y,http://www.cryoport.com,4731,Freight transportation arrangement,191,TRANS-SERVICES,15,Transportation,58,TRANSPORTATION,12,2015-05-19,0.08,0001124524,US,UNITED STATES,1,N,N,COM
CYRX,CYRX.,CYRIX CORP,CYRIX CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CYS,CYS,CYS INVESTMENTS,"CYS Investments, Inc.",NYSE,USD,S,Y,http://www.cysinv.com,6798,Real estate investment trusts,151,REIT-MTGE TRUST,13,Finance,52,REAL ESTATE,12,,,0001396446,US,UNITED STATES,3,Y,N,COM
CYCR,CYS.,CYCARE SYS,CYCARE SYS,,,,N,,,,,,,,,,12,,,,,,,,,
VET&,CYSG,CAPE SYS GP INC,CAPE SYS GP INC,,,,N,,,,,,,,,,9,,,,,,,,,
CYSV,CYSV,CYSIVE INC,CYSIVE INC,,,,N,,,,,,,,,,12,,,,,,,,,
CYT,CYT,CYTEC INDS INC,Cytec Industries Inc.,NYSE,,,N,,,,,,,,,,12,,,,,,,,,
CITR,CYT.2,CITYTRUST BCP,CITYTRUST BCP,,,,N,,,,,,,,,,12,,,,,,,,,
CYTC,CYTC.,CYTYC CORP,CYTYC CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CYTK,CYTK,CYTOKINETCS INC,"Cytokinetics, Incorporated",NSDQ,USD,S,Y,http://www.cytokinetics.com,2834,Pharmaceutical preparations,105,MED-BIOMED/GENE,4,Medical,15,DRUGS,12,2013-06-25,0.17,0001061983,US,UNITED STATES,1,Y,N,COM
CYTO,CYTO,CYTOGEN,CYTOGEN,,,,N,,,,,,,,,,12,,,,,,,,,
CYTR,CYTR,CYTRX CORP,CytRx Corporation,NSDQ,USD,S,Y,http://www.cytrx.com,2836,"Biological products, except diagnostic",105,MED-BIOMED/GENE,4,Medical,15,DRUGS,12,2012-05-16,0.14,0000799698,US,UNITED STATES,1,Y,N,COM
CYTD,CYTX,CYTORI THERAPEU,Cytori Therapeutics Inc,NSDQ,USD,S,Y,http://www.cytori.com,3841,Surgical & medical instruments,105,MED-BIOMED/GENE,4,Medical,15,DRUGS,12,2016-05-12,0.07,0001095981,US,UNITED STATES,1,Y,N,COM
#FWG,CYUR,CYCLONE URANIUM,Cyclone Uranium Corp.,OTC,USD,S,Y,http://www.fischer-watt.com,1040,Gold & silver ores,116,MINING -MISC,6,Basic Materials,20,METALS-NON FERR,1,,,0000844788,US,UNITED STATES,1,N,N,COM
CYWD,CYWDF,COUNTRYWIDE PLC,COUNTRYWIDE PLC,OTC,USD,S,Y,http://www.countrywide.co.uk,8880,Private households,153,REAL ESTATE OPS,13,Finance,52,REAL ESTATE,12,,,,GB,UNITED KINGDOM,3,N,N,COM
CYXI,CYXI,CHINA YINGXIA,CHINA YINGXIA,,,,N,,,,,,,,,,12,,,,,,,,,
CYXN,CYXN,CHINA YONGXIN,CHINA YONGXIN,OTC,,,N,,,,,,,,,,12,,,,,,,,,
CYYN,CYYNF,CYNATA THERAPTC,Cynata Therapeutics Ltd.,OTC,USD,S,Y,,2676,Sanitary paper products,105,MED-BIOMED/GENE,4,Medical,15,DRUGS,6,,,,,,,N,N,COM
CTYS,CYYSQ,CITYSCAPE FINL,CITYSCAPE FINL,,,,N,,,,,,,,,,12,,,,,,,,,
CZ,CZ.,CELANESE CORP,CELANESE CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CZA,CZA,GUGG-MID-CAP CR,GUGG-MID-CAP CR,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
CZBS,CZBS,CITIZENS BSH CP,Citizens Bancshares Corp.,OTC,USD,S,Y,http://www.ctbconnect.com,6022,State commercial banks,16,BANKS-SOUTHEAST,13,Finance,47,BANKS & THRIFTS,12,,,0000813640,US,UNITED STATES,2,N,N,COM
CZC,CZC,CITIZENS CORP,CITIZENS CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CZC#,CZCGF,CHINA ZENITH CH,CHINA ZENITH CH,OTC,,,N,,,,,,,,,,12,,,,,,,,,
CZF&,CZF,CITISAVE FINL,CITISAVE FINL,,,,N,,,,,,,,,,12,,,,,,,,,
CZFC,CZFC,CITIZENS FST CP,Citizens First Corporation,NSDQ,USD,S,Y,http://www.citizensfirstbank.com,6021,National commercial banks,16,BANKS-SOUTHEAST,13,Finance,47,BANKS & THRIFTS,12,,,0001073475,US,UNITED STATES,2,N,N,COM
CZFS,CZFS,CITIZENS FIN SV,Citizens Financial Services Inc.,OTCBB,USD,S,Y,http://www.firstcitizensbank.com,6022,State commercial banks,15,BANKS-NORTHEAST,13,Finance,47,BANKS & THRIFTS,12,2016-06-21,1.01,0000739421,US,UNITED STATES,2,N,N,COM
CZG,CZG,CLYMR/ZACKS G&I,CLYMR/ZACKS G&I,,,,N,,,,,,,,,,12,,,,,,,,,
CZ2,CZLNF,CELANESE AG,CELANESE AG,,,,N,,,,,,,,,,12,,,,,,,,,
CZM,CZM.,CALMAT CO,CALMAT CO,,,,N,,,,,,,,,,12,,,,,,,,,
CITA,CZN.A,CITIZENS UTIL A,CITIZENS UTIL A,,,,N,,,,,,,,,,12,,,,,,,,,
CZNB,CZNB,CITIZENS BANCRP,Citizens Bancorp,OTC,USD,S,Y,http://www.citizensebank.com,6022,State commercial banks,13,BANKS-MIDWEST,13,Finance,47,BANKS & THRIFTS,12,,,,US,UNITED STATES,2,N,N,COM
CZNC,CZNC,CITIZENS&NRTHRN,Citizens & Northern Corp,NSDQ,USD,S,Y,http://www.cnbankpa.com,6022,State commercial banks,15,BANKS-NORTHEAST,13,Finance,47,BANKS & THRIFTS,12,2007-12-28,1.01,0000810958,US,UNITED STATES,2,Y,N,COM
CZP,CZP,CURRAGH INC,CURRAGH INC,,,,N,,,,,,,,,,12,,,,,,,,,
CZR,CZR,CAESARS ENTERTN,Caesars Entertainment Corporation,NSDQ,USD,S,Y,http://www.caesars.com,7011,Hotels & motels,200,GAMING,2,Consumer Discretionary,9,LEISURE SERVICES,12,,,0000858339,US,UNITED STATES,1,Y,N,COM
PPE,CZR.,CAESARS ENTMNT,CAESARS ENTMNT,,,,N,,,,,,,,,,12,,,,,,,,,
CEZR,CZRI,CEZAR INDS LTD,CEZAR INDS LTD,,,,N,,,,,,,,,,7,,,,,,,,,
CZWI,CZWI,CITIZENS COMMNT,"Citizens Community Bancorp, Inc.",NSDQ,USD,S,Y,http://www.citizenscommunityfederal.net,6035,Federal savings institutions,67,FIN-SVGS & LOAN,13,Finance,47,BANKS & THRIFTS,9,,,0001367859,US,UNITED STATES,2,N,N,COM
CZYB,CZYB,CCB BANKSHARES,Citizens Community Bank,OTC,USD,S,Y,http://www.ccbsite.com,6029,"Commercial banks, not elsewhere classified",16,BANKS-SOUTHEAST,13,Finance,47,BANKS & THRIFTS,12,2011-06-13,1.1,,US,UNITED STATES,2,N,N,COM
CZZ,CZZ,COSAN LTD-A,Cosan Limited,NYSE,USD,S,Y,http://www.cosan.com.br/en,2060,Sugar & confectionery products,275,Agriculture/Products,6,Basic Materials,60,Agribusiness,12,,,0001402902,BR,BRAZIL,1,Y,N,COM
VEL,D,DOMINION RES VA,"Dominion Resources, Inc.",NYSE,USD,S,Y,http://www.dom.com,4911,Electric services,193,UTIL-ELEC PWR,14,Utilities,53,UTIL-ELEC PWR,12,2007-11-20,2.0,0000715957,US,UNITED STATES,6,Y,Y,COM
DAAT,DAAT,DAC TECHNOLOGS,DAC Technologies Group International Inc.,OTC,USD,S,Y,http://www.dactec.com,3420,"Cutlery, handtools, & general hardware",146,PROTECTION-SFTY,7,Industrial Products,24,IND PRODS/SVC,12,,,,US,UNITED STATES,1,N,N,COM
DANB,DAB,DAVE & BUSTER'S,DAVE & BUSTER'S,,,,N,,,,,,,,,,1,,,,,,,,,
DABR,DABR,DAVID'S BRIDAL,DAVID'S BRIDAL,,,,N,,,,,,,,,,12,,,,,,,,,
DAC,DAC,DANAOS CORP,Danaos Corporation,NYSE,USD,S,Y,http://www.danaos.com,4412,Deep sea foreign transportation of freight,190,TRANS-SHIP,15,Transportation,58,TRANSPORTATION,12,,,0001369241,GR,GREECE,1,N,N,COM
#DAC,DACO,DYNAMIC AMERICA,DYNAMIC AMERICA,,,,N,,,,,,,,,,12,,,,,,,,,
DADE,DADE,DADE BEHRNG HLD,DADE BEHRNG HLD,,,,N,,,,,,,,,,12,,,,,,,,,
UNFY,DAEG,DAEGIS INC,Daegis Inc.,OTC,,,N,,,,,,,,,,4,,,,,,,,,
DAG2,DAG,DB-AG DBL LONG,DB-AG DBL LONG,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
#DAH,DAHI,DEPRENYL ANIMAL,DEPRENYL ANIMAL,,,,N,,,,,,,,,,12,,,,,,,,,
DESI,DAHL,DAHLBERG INC,DAHLBERG INC,,,,N,,,,,,,,,,12,,,,,,,,,
DAH#,DAHSF,DAH SING FINL,DAH SING FINL,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
DAHX,DAHX,DECRANE AIRCRFT,DECRANE AIRCRFT,,,,N,,,,,,,,,,12,,,,,,,,,
DRCH,DAI.1,DATA ARCHITECTS,DATA ARCHITECTS,,,,N,,,,,,,,,,11,,,,,,,,,
DAIE,DAIEY,DAIEI INC -ADR,DAIEI INC -ADR,,,,N,,,,,,,,,,2,,,,,,,,,
DAIG,DAIG,DAIG CORP,DAIG CORP,,,,N,,,,,,,,,,9,,,,,,,,,
DKBJ,DAIKY,DAI ICHI KANGYO,DAI ICHI KANGYO,,,,N,,,,,,,,,,3,,,,,,,,,
DAIO,DAIO,DATA I/O,Data I/O Corporation,NSDQ,USD,S,Y,http://www.dataio.com,3825,Instruments to measure electricity,50,ELEC-MISC COMPONENTS,10,Computer and Technology,34,ELECTRONICS,12,1983-08-26,1.5,0000351998,US,UNITED STATES,1,N,N,COM
YMVG,DAKMF,DAKOTA MINING,DAKOTA MINING,,,,N,,,,,,,,,,12,,,,,,,,,
DAKP,DAKPQ,DAKOTA PLNS HLD,Dakota Plains Holdings Inc.,OTC,USD,S,Y,http://www.dakotaplains.com,5171,Petroleum bulk stations & terminals,189,TRANS-RAIL,15,Transportation,58,TRANSPORTATION,12,,,0001367311,US,UNITED STATES,6,N,N,COM
DAKT,DAKT,DAKTRONICS INC,"Daktronics, Inc.",NSDQ,USD,S,Y,http://www.daktronics.com,3990,Miscellaneous manufacturing industries,52,ELEC PRODS-MISC,10,Computer and Technology,34,ELECTRONICS,4,2006-06-23,2.0,0000915779,US,UNITED STATES,1,Y,N,COM
DAL2,DAL,DELTA AIR LINES,"Delta Air Lines, Inc.",NYSE,USD,S,Y,http://www.delta.com,4512,"Air transportation, scheduled",187,TRANS-AIRLINE,15,Transportation,57,TRANSPORT-AIR,12,,,0000027904,US,UNITED STATES,1,Y,Y,COM
DALN,DALN,DALEEN TECH INC,DALEEN TECH INC,,,,N,,,,,,,,,,12,,,,,,,,,
WSPD,DALP,DALA PETROL CP,DALA PETROL CP,OTC,,S,Y,,,,,,,,,,9,,,,,,,,,
DAL,DALRQ,DELTA AIR-OLD,DELTA AIR-OLD,,,,N,,,,,,,,,,12,,,,,,,,,
DAIL,DALY,DAILEY INTL INC,DAILEY INTL INC,,,,N,,,,,,,,,,12,,,,,,,,,
DAM,DAM,DAMSON OIL,DAMSON OIL,,,,N,,,,,,,,,,9,,,,,,,,,
DCNA,DAN,DANA INC,Dana Incorporated,NYSE,USD,S,Y,http://www.dana.com,3714,Motor vehicle parts & accessories,10,AUTO/TRUCK-ORIG,5,Auto/Tires/Trucks,18,AUTOS/TIRES/TRUCKS,12,,,0000026780,US,UNITED STATES,1,Y,N,COM
DII1,DAN.,DANIEL INDS,DANIEL INDS,,,,N,,,,,,,,,,12,,,,,,,,,
DANG,DANG,E-COMMRC CH-ADR,E-Commerce China Dangdang Inc.,NYSE,,,N,,,,,,,,,,12,,,,,,,,,
DANK,DANKY,DANKA BUSINESS,DANKA BUSINESS,,,,N,,,,,,,,,,3,,,,,,,,,
BSNA,DANOY,DANONE-ADR,Danone,OTC,USD,S,Y,http://www.danone.com,2000,Food & kindred products,76,FOOD-MISC/DIVERSIFIED,1,Consumer Staples,3,FOOD,12,2007-06-07,2.0,0001048515,FR,FRANCE,1,N,N,ADR
DANR,DANR,DANA RESOURCES,DANA RESOURCES,OTC,,S,Y,,,,,,,,,,6,,,,,,,,,
#DA3,DANY,DANDEES ENTERP,DANDEES ENTERP,,,,N,,,,,,,,,,8,,,,,,,,,
DAOU,DAOU,DAOU SYSTEMS,DAOU SYSTEMS,,,,N,,,,,,,,,,12,,,,,,,,,
DAP,DAP,DISCOUNT AUTO,DISCOUNT AUTO,,,,N,,,,,,,,,,5,,,,,,,,,
DAPN,DAPN,DAUPHIN DEPOSIT,DAUPHIN DEPOSIT,,,,N,,,,,,,,,,12,,,,,,,,,
DAR&,DAR,DARLING INGRDNT,Darling Ingredients Inc.,NYSE,USD,S,Y,http://www.darlingii.com,2070,Fats & oils,76,FOOD-MISC/DIVERSIFIED,1,Consumer Staples,3,FOOD,12,1997-11-10,3.0,0000916540,US,UNITED STATES,1,Y,N,COM
HMSR,DARA,DARA BIOSCIENCS,Dara Biosciences Inc.,NSDQ,,,N,,,,,,,,,,12,,,,,,,,,
DTRO,DARC,DATRONIC CORP,DATRONIC CORP,,,,N,,,,,,,,,,6,,,,,,,,,
DDC,DART,DART GRP CORP,DART GRP CORP,,,,N,,,,,,,,,,1,,,,,,,,,
DAST,DASTY,DASSAULT SY-ADR,Dassault Systemes SA,OTC,USD,S,Y,http://www.3ds.com,7372,Prepackaged software,44,COMP-SOFTWARE,10,Computer and Technology,32,COMPUTER SOFT/SERV,12,2014-07-23,2.0,D000000AST,FR,FRANCE,1,N,N,ADR
DASW,DASW,DATA SWITCH CO,DATA SWITCH CO,,,,N,,,,,,,,,,12,,,,,,,,,
DAT2,DATA,TABLEAU SOFTWAR,"Tableau Software, Inc.",NYSE,USD,S,Y,http://www.tableau.com,7372,Prepackaged software,214,INTERNET SOFTWARE,10,Computer and Technology,32,COMPUTER SOFT/SERV,12,,,0001303652,US,UNITED STATES,1,Y,N,COM
DATA,DATA1,ENDATA INC,ENDATA INC,,,,N,,,,,,,,,,12,,,,,,,,,
SLTK,DATC,DATATEC SYSTEMS,DATATEC SYSTEMS,,,,N,,,,,,,,,,4,,,,,,,,,
DATC,DATC.,DATA CARD,DATA CARD,,,,N,,,,,,,,,,3,,,,,,,,,
DATE,DATE,JIAYUAN.COM INT,Jiayuan.com International Ltd.,NSDQ,,,N,,,,,,,,,,12,,,,,,,,,
UMCO,DATI,DIGITAL ART MDA,DIGITAL ART MDA,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
DATM,DATM,DATUM INC,DATUM INC,,,,N,,,,,,,,,,12,,,,,,,,,
DATQ,DATQ,DATEQ INFO NETW,DATEQ INFO NETW,,,,N,,,,,,,,,,12,,,,,,,,,
#SCL,DATV,DATATREND SVCS,DATATREND SVCS,OTC,,,N,,,,,,,,,,12,,,,,,,,,
DATD,DATX,DATA TRANS-NEW,Data Translation Inc.,OTC,,,N,,,,,,,,,,11,,,,,,,,,
DAVD,DAVD,DAVIDSON & ASSC,DAVIDSON & ASSC,,,,N,,,,,,,,,,12,,,,,,,,,
DAVE,DAVE,FAMOUS DAVES,"Famous Dave's of America, Inc.",NSDQ,USD,S,Y,http://www.famousdaves.com,5812,Eating places,160,RETAIL-RESTRNTS,3,Retail/Wholesale,13,FOOD/DRUG-RTL/WHL,12,,,0001021270,US,UNITED STATES,1,N,N,COM
DAVL,DAVLE,DAVEL COMMS INC,DAVEL COMMS INC,,,,N,,,,,,,,,,12,,,,,,,,,
CDMD,DAWC,DAWCIN INTL,DAWCIN INTL,,,,N,,,,,,,,,,6,,,,,,,,,
#DAW,DAWH,DAVID WHITE INC,DAVID WHITE INC,,,S,Y,,,,,,,,,,12,,,,,,,,,
DAWK,DAWKQ,DAW TECH INC,Daw Technologies Inc.,OTC,,,N,,,,,,,,,,12,,,,,,,,,
#DA2,DAWN,DAWN TECH INC,DAWN TECH INC,,,,N,,,,,,,,,,12,,,,,,,,,
DAX2,DAX,HZN-DAX GERMANY,Horizons DAX Germany ETF,NSDQ,,E,Y,,,,,,,,,,12,,,,,,,,,
DAX,DAX.,NETS-DAX IDX FD,NETS-DAX IDX FD,,,,N,,,,,,,,,,12,,,,,,,,,
YDD,DAY,DAYTON MINING,DAYTON MINING,,,,N,,,,,,,,,,12,,,,,,,,,
DAYR,DAYR,DAY RUNNER INC,DAY RUNNER INC,,,,N,,,,,,,,,,6,,,,,,,,,
DAYS,DAYS,DAYS INN CORP,DAYS INN CORP,,,,N,,,,,,,,,,12,,,,,,,,,
DAZY,DAZX,DAISY SYS,DAISY SYS,,,,N,,,,,,,,,,9,,,,,,,,,
DBKR,DB,DEUTSCHE BK AG,Deutsche Bank AG,NYSE,USD,S,Y,http://www.db.com,6022,State commercial banks,12,BANKS-FOREIGN,13,Finance,46,BANKS-MAJOR,12,1995-06-01,10.0,0001159508,DE,GERMANY,2,Y,N,COM
DBA,DBA,PWRSH-DB AGRIC,PowerShares DB Agriculture Fund,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBAP,DBAP,DEUTS-XT MS ASI,DEUTS-XT MS ASI,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBAS,DBAS,DBA SYS,DBA SYS,,,,N,,,,,,,,,,6,,,,,,,,,
DBAU,DBAU,DEUTS-XT MS AUS,DEUTS-XT MS AUS,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBAW,DBAW,DEUTS-XT MS AW,Deutsche X-trackers MSCI All World ex US Hedged Equity ETF,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBB,DBB,PWRSH-DB B METL,PWRSH-DB B METL,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBBR,DBBR,DEUTS-XT MS BRZ,DEUTS-XT MS BRZ,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBC2,DBC,PWRSH-DB COMDTY,PowerShares DB Commodity Index Tracking Fund,ARCA,USD,E,Y,,6221,"Commodity contracts brokers, dealers",66,FIN-INVEST FUND,13,Finance,51,INVESTMENT FUNDS,12,,,0001328237,,,10,Y,N,ETF
USBI,DBCI,DARTMOUTH BCP,DARTMOUTH BCP,,,,N,,,,,,,,,,12,,,,,,,,,
#CDR,DBCOQ,DOMINION BRIDGE,DOMINION BRIDGE,,,,N,,,,,,,,,,9,,,,,,,,,
DBD,DBD,DIEBOLD INC,"Diebold, Incorporated",NYSE,USD,S,Y,http://www.dieboldnixdorf.com/en-us,3578,Calculating & accounting equipment,203,COMP-INTEGT SYS,10,Computer and Technology,31,COMPUTER/OFFICE EQUIP,12,1997-02-20,1.5,0000028823,US,UNITED STATES,1,Y,N,COM
IVTC,DBDB,DBRIT CORP,DBRIT CORP,,,,N,,,,,,,,,,12,,,,,,,,,
DBE,DBE,PWRSH-DB EGY FD,PWRSH-DB EGY FD,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBEF,DBEF,DEUTS-XT MS HDG,DEUTS-XT MS HDG,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBEM,DBEM,DEUTS-XT MS EM,DEUTS-XT MS EM,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBEN,DBEN,BRIX MARITIME,BRIX MARITIME,,,,N,,,,,,,,,,12,,,,,,,,,
DBES,DBES,DEUTS-XT MS SC,DEUTS-XT MS SC,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBEU,DBEU,DEUTS-XT MS EUR,Deutsche X-trackers MSCI Europe Hedged Equity ETF,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBEZ,DBEZ,DEUTS-XT MS EMU,Deutsche X-trackers MSCI Eurozone Hedged Equity ETF,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBF,DBF,DREXEL BOND TR,DREXEL BOND TR,,,,N,,,,,,,,,,3,,,,,,,,,
DBG,DBGC,DYERSBURG CORP,DYERSBURG CORP,,,,N,,,,,,,,,,9,,,,,,,,,
DBCN,DBGR,DEUTS-XT MS GER,Deutsche X-trackers MSCI Germany Hedged Equity ETF,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBH,DBH,DIAMOND BATHUR,DIAMOND BATHUR,,,,N,,,,,,,,,,12,,,,,,,,,
DBHI,DBHI,HICKAM DOW B,HICKAM DOW B,,,,N,,,,,,,,,,12,,,,,,,,,
DBHM,DBHMY,DEBENHAMS PLC,DEBENHAMS PLC,,,,N,,,,,,,,,,8,,,,,,,,,
DBHS,DBHSY,DEBENHAMS ADR,DEBENHAMS ADR,OTC,USD,S,Y,http://www.debenhams.com,8880,Private households,154,RETAIL-APP/SHOE,3,Retail/Wholesale,14,NONFOOD RETAIL/WH,8,,,0001368729,GB,UNITED KINGDOM,1,N,N,ADR
DBIF,DBIF,DEUTS-XT SP HGI,DEUTS-XT SP HGI,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBIO,DBIO,DAMON BIOTECH,DAMON BIOTECH,,,,N,,,,,,,,,,8,,,,,,,,,
DBIT,DBIT,DEUTS-XT MS ITL,DEUTS-XT MS ITL,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBIZ,DBIZ,ADVSR-PRC TBC,ADVSR-PRC TBC,ARCA,,,N,,,,,,,,,,12,,,,,,,,,
DBJP,DBJP,DEUTS-XT MS JPN,Deutsche X-trackers MSCI Japan Hedged Equity ETF,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBKO,DBKO,DEUTS-XT MS SK,DEUTS-XT MS SK,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBL,DBL,DOUBLELINE OPPR,DoubleLine Opportunistic Credit Fund,NYSE,,E,Y,,,,,,,,,,12,,,,,,,,,
SHUF,DBMG,DBM GLOBAL INC,Schuff International Inc.,OTC,USD,S,Y,http://www.schuff.com,1700,Construction - special trade contractors,175,STEEL-PIPE&TUBE,7,Industrial Products,63,STEEL,12,,,0001038368,US,UNITED STATES,1,N,N,COM
DBMI,DBMI,DOBI MED INTL,DOBI MED INTL,,,,N,,,,,,,,,,12,,,,,,,,,
DBMM,DBMM,DIGITAL BRAND,DIGITAL BRAND,OTC,,S,Y,,,,,,,,,,8,,,,,,,,,
DBMX,DBMX,DEUTS-XT MS MEX,DEUTS-XT MS MEX,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBO,DBO,PWRSH-DB OIL FD,PowerShares DB Oil Fund,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBOE,DBOEY,DEUTSCHE BOERSE,Deutsche Boerse AG,OTC,USD,S,Y,http://www.deutsche-boerse.com,6200,"Security & commodity brokers, dealers, exchanges & services",276,Securities Exchanges,13,Finance,48,FINANCE,12,,,0001437147,DE,GERMANY,1,N,N,ADR
DBP,DBP,PWRSH-DB P METL,PWRSH-DB P METL,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBR,DBR,WISDMTR-I H/C S,WISDMTR-I H/C S,,,,N,,,,,,,,,,12,,,,,,,,,
DBRE,DBRE,DEUTS-XT DJHI,DEUTS-XT DJHI,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBRM,DBRM,DAYBREAK OIL&GS,DAYBREAK OIL&GS,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
DBRS,DBRSY,DE BEERS CO ADR,DE BEERS CO ADR,,,,N,,,,,,,,,,12,,,,,,,,,
DBS,DBS,PWRSH-DB SILVER,PWRSH-DB SILVER,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBSD,DBSDY,DBS GROUP-ADR,DBS Group Holdings Ltd,OTC,USD,S,Y,http://www.dbs.com,6021,National commercial banks,12,BANKS-FOREIGN,13,Finance,46,BANKS-MAJOR,12,,,0000882617,SG,SINGAPORE,2,N,N,ADR
DBSE,DBSE,DEUTS-XT MS SEU,DEUTS-XT MS SEU,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
DBSP,DBSP,DEUTS-XT MS SPN,DEUTS-XT MS SPN,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
BIME,DBSY,DONLAR BIOSNTRX,DONLAR BIOSNTRX,,,,N,,,,,,,,,,12,,,,,,,,,
DBT2,DBT,WISDMTR-I TEC S,WISDMTR-I TEC S,,,,N,,,,,,,,,,12,,,,,,,,,
DBTO,DBT.,DBT ONLINE INC,DBT ONLINE INC,,,,N,,,,,,,,,,12,,,,,,,,,
DBTB,DBTB,DEBUT BROADCAST,Debut Broadcasting Corp.,OTC,,,N,,,,,,,,,,12,,,,,,,,,
DBTK,DBTK,DOUBLE-TAKE SOF,DOUBLE-TAKE SOF,,,,N,,,,,,,,,,12,,,,,,,,,
DBU,DBU,WISDMTR-G-US UT,WISDMTR-G-US UT,ARCA,,,N,,,,,,,,,,12,,,,,,,,,
DBU&,DBU.,DEBT STRAT FD 3,DEBT STRAT FD 3,,,S,Y,,,,,,,,,,12,,,,,,,,,
DBUK,DBUK,DEUTS-XT MS UK,DEUTS-XT MS UK,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
